2025-02-26 22:15:20 INFO     Generating Simulations...
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [74, 1, 0.717822790145874]
2025-02-26 22:15:27 INFO     [74, 1, 0.37298545241355896]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [75, 1, 0.24246737360954285]
2025-02-26 22:15:27 INFO     [75, 1, 0.44560331106185913]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [76, 1, 0.20496925711631775]
2025-02-26 22:15:27 INFO     [76, 1, 0.3409467339515686]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [77, 1, 1.3824005126953125]
2025-02-26 22:15:27 INFO     [77, 1, 0.28519999980926514]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [78, 1, 1.3858191967010498]
2025-02-26 22:15:27 INFO     [78, 1, 0.29736849665641785]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [79, 1, 0.8812194466590881]
2025-02-26 22:15:27 INFO     [79, 1, 0.31027641892433167]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [80, 1, 0.7580365538597107]
2025-02-26 22:15:27 INFO     [80, 1, 0.36653873324394226]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [81, 1, 0.35520851612091064]
2025-02-26 22:15:27 INFO     [81, 1, 0.39427775144577026]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [82, 1, 0.21804997324943542]
2025-02-26 22:15:27 INFO     [82, 1, 0.3358161449432373]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007350918906249998
2025-02-26 22:15:27 INFO     [83, 1, 0.26316359639167786]
